name,city,state,url,website,buy_link,phone,email,type,notes,source,source_url,prices
Abstract Printing Inc,Spartanburg,SC,https://textileconnect.com/directory/abstract-printing-inc/,https://textileconnect.com/directory/abstract-printing-inc/,https://textileconnect.com/directory/abstract-printing-inc/,,,manufacturer,Textile Connect: apparel-and-product-manufacturing,Textile Connect,https://textileconnect.com/directory/,Contact for quote
Abzorbit Inc,Newton,NC,https://textileconnect.com/directory/abzorbit-inc/,https://textileconnect.com/directory/abzorbit-inc/,https://textileconnect.com/directory/abzorbit-inc/,,,manufacturer,Textile Connect: apparel-and-product-manufacturing,Textile Connect,https://textileconnect.com/directory/,Contact for quote
Academy Awards,Florence,SC,https://textileconnect.com/directory/academy-awards/,https://textileconnect.com/directory/academy-awards/,https://textileconnect.com/directory/academy-awards/,,,manufacturer,Textile Connect: apparel-and-product-manufacturing,Textile Connect,https://textileconnect.com/directory/,Contact for quote
Accent Awnings Inc,Andrews,NC,https://textileconnect.com/directory/accent-awnings-inc/,https://textileconnect.com/directory/accent-awnings-inc/,https://textileconnect.com/directory/accent-awnings-inc/,,,manufacturer,Textile Connect: apparel-and-product-manufacturing,Textile Connect,https://textileconnect.com/directory/,Contact for quote
"Accentex, Inc.",Keansburg,NJ,https://textileconnect.com/directory/accentex-inc/,https://textileconnect.com/directory/accentex-inc/,https://textileconnect.com/directory/accentex-inc/,,,manufacturer,Textile Connect: apparel-and-product-manufacturing,Textile Connect,https://textileconnect.com/directory/,Contact for quote
Accent Fabrics,Lumberton,NC,https://textileconnect.com/directory/accent-fabrics/,https://textileconnect.com/directory/accent-fabrics/,https://textileconnect.com/directory/accent-fabrics/,,,manufacturer,Textile Connect: apparel-and-product-manufacturing,Textile Connect,https://textileconnect.com/directory/,Contact for quote
AccuPointe,Monroe,NC,https://textileconnect.com/directory/accupointe/,https://textileconnect.com/directory/accupointe/,https://textileconnect.com/directory/accupointe/,,,manufacturer,Textile Connect: apparel-and-product-manufacturing,Textile Connect,https://textileconnect.com/directory/,Contact for quote
Accurate Embroidery,Columbia,SC,https://textileconnect.com/directory/accurate-embroidery/,https://textileconnect.com/directory/accurate-embroidery/,https://textileconnect.com/directory/accurate-embroidery/,,,manufacturer,Textile Connect: apparel-and-product-manufacturing,Textile Connect,https://textileconnect.com/directory/,Contact for quote
Ace Plastics Inc,Charlotte,NC,https://textileconnect.com/directory/ace-plastics-inc/,https://textileconnect.com/directory/ace-plastics-inc/,https://textileconnect.com/directory/ace-plastics-inc/,,,manufacturer,Textile Connect: apparel-and-product-manufacturing,Textile Connect,https://textileconnect.com/directory/,Contact for quote
Ace Screen Printing Inc,Chester,SC,https://textileconnect.com/directory/ace-screen-printing-inc/,https://textileconnect.com/directory/ace-screen-printing-inc/,https://textileconnect.com/directory/ace-screen-printing-inc/,,,manufacturer,Textile Connect: apparel-and-product-manufacturing,Textile Connect,https://textileconnect.com/directory/,Contact for quote
ACG Cotton Marketing LLC,Lubbock,TX,https://textileconnect.com/directory/acg-cotton-marketing-llc/,https://textileconnect.com/directory/acg-cotton-marketing-llc/,https://textileconnect.com/directory/acg-cotton-marketing-llc/,,,manufacturer,Textile Connect: apparel-and-product-manufacturing,Textile Connect,https://textileconnect.com/directory/,Contact for quote
Achieve 02,Mooresville,NC,https://textileconnect.com/directory/achieve-02/,https://textileconnect.com/directory/achieve-02/,https://textileconnect.com/directory/achieve-02/,,,manufacturer,Textile Connect: apparel-and-product-manufacturing,Textile Connect,https://textileconnect.com/directory/,Contact for quote
Acirris,Wilson,NC,https://textileconnect.com/directory/acirris/,https://textileconnect.com/directory/acirris/,https://textileconnect.com/directory/acirris/,,,manufacturer,Textile Connect: apparel-and-product-manufacturing,Textile Connect,https://textileconnect.com/directory/,Contact for quote
Acme Distributor Sales,Charlotte,NC,https://textileconnect.com/directory/acme-distributor-sales/,https://textileconnect.com/directory/acme-distributor-sales/,https://textileconnect.com/directory/acme-distributor-sales/,,,manufacturer,Textile Connect: apparel-and-product-manufacturing,Textile Connect,https://textileconnect.com/directory/,Contact for quote
Acme McCrary – Asheboro,Asheboro,NC,https://textileconnect.com/directory/acme-mccrary-asheboro/,https://textileconnect.com/directory/acme-mccrary-asheboro/,https://textileconnect.com/directory/acme-mccrary-asheboro/,,,manufacturer,Textile Connect: apparel-and-product-manufacturing,Textile Connect,https://textileconnect.com/directory/,Contact for quote
Acme McCrary – Liberty,Liberty,NC,https://textileconnect.com/directory/acme-mccrary-liberty/,https://textileconnect.com/directory/acme-mccrary-liberty/,https://textileconnect.com/directory/acme-mccrary-liberty/,,,manufacturer,Textile Connect: apparel-and-product-manufacturing,Textile Connect,https://textileconnect.com/directory/,Contact for quote
